Category,Materials Collected for Recycling (tons),2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Other,Tires,"12,218","10,306","27,102","27,753","37,568","53,777","23,528","37,529","46,036","45,112","26,775","30,374","30,890","20,951","25,527","35,139","27,679","34,900","36,289"
Paper,Cartons,98,69,26,"1,789",8,"4,529","5,755","5,787","5,475","5,526","2,763",705,"6,139","7,407",1,109,98,19,64
Paper,Cardboard,"495,470","491,230","417,534","430,750","535,662","565,698","570,802","555,757","569,688","491,266","471,477","542,333","520,585","534,494","497,912","523,478","586,652","504,179","648,298"
Paper,High Grade Paper,"59,976","58,538","62,312","59,502","70,210","58,661","71,774","82,806","57,929","47,266","76,667","66,664","39,072","52,063","40,921","62,809","42,217","58,896","53,765"
Paper,Mixed Paper,"273,494","231,302","206,051","219,111","230,934","322,732","316,874","361,043","367,834","274,982","287,814","280,055","293,424","300,120","327,342","220,865","213,486","178,153","217,449"
Paper,Newspaper,"219,716","176,392","187,585","215,882","261,306","259,157","294,887","289,250","282,981","267,524","233,924","275,025","170,088","225,109","227,737","212,844","240,296","207,277","101,577"
Paper,Other Recyclable Paper, - , - , - , - , - , - , - , - , - , - ,"6,476","3,686", -   , -   , -   , -   , -   , -   , -   
Plastic,Mixed Plastics, - , - , - , - , - , - , - , - , - , - , - , - , - ,"7,827",998,424,"3,603","4,048",831
Plastic,PET Plastics,"5,100","4,661","5,886","6,060","6,748","8,534","7,558","14,024","9,827","16,767","15,803","16,986","18,830","24,029","22,360","16,627","16,979","18,526","20,902"
Plastic,HDPE Plastics,"5,491","4,841","6,029","8,485","7,991","9,319","8,000","11,348","7,742","13,876","18,824","12,475","16,864","16,720","13,744","13,053","14,722","12,216","13,448"
Plastic,LDPE Plastics,"4,032","6,603","9,775","17,925","10,604","16,209","14,928","13,695","14,040","15,407","16,772","27,024","23,375","20,022","22,303","28,586","21,676","19,073","20,643"
Plastic,Other Recyclable Plastics,"6,512","4,067","9,067","3,482","7,783","7,944","7,776","12,350","11,245","12,747","13,009","18,194","18,367","15,910","12,919","16,162","14,607","13,372","14,655"
,,,,,,,,,,,,,,,,,,,,
