Category,Materials Collected for Recycling,Year,Annual Tonnage
C&D,Landclearing Debris,2003,160158
C&D,Landclearing Debris,2004,268486
C&D,Landclearing Debris,2005,475015
C&D,Landclearing Debris,2006,258563
C&D,Landclearing Debris,2007,168007
C&D,Landclearing Debris,2008,169428
C&D,Landclearing Debris,2009,162939
C&D,Landclearing Debris,2010,150287
C&D,Landclearing Debris,2011,160086
C&D,Landclearing Debris,2012,171962
C&D,Landclearing Debris,2013,144765
C&D,Landclearing Debris,2014,164662
C&D,Landclearing Debris,2015,253153
C&D,Landclearing Debris,2016,189859
C&D,Landclearing Debris,2017,118540
C&D,Landclearing Debris,2018,168547
C&D,Roofing Material,2000,14412
C&D,Roofing Material,2001,11727
C&D,Roofing Material,2002,13825
C&D,Roofing Material,2003,6493
C&D,Roofing Material,2004,8186
C&D,Roofing Material,2005,2353
C&D,Roofing Material,2006,9120
C&D,Roofing Material,2007,10188
C&D,Roofing Material,2008,10205
C&D,Roofing Material,2009,10872
C&D,Roofing Material,2010,14518
C&D,Roofing Material,2011,15470
C&D,Roofing Material,2012,13021
C&D,Roofing Material,2013,10899
C&D,Roofing Material,2014,8272
C&D,Roofing Material,2015,15612
C&D,Roofing Material,2016,13108
C&D,Roofing Material,2017,29808
C&D,Roofing Material,2018,11817
C&D,Wood Waste,2000,215211
C&D,Wood Waste,2001,538242
C&D,Wood Waste,2002,394261
C&D,Wood Waste,2003,208920
C&D,Wood Waste,2004,257495
C&D,Wood Waste,2005,351855
C&D,Wood Waste,2006,289612
C&D,Wood Waste,2007,228146
C&D,Wood Waste,2008,381866
C&D,Wood Waste,2009,200980
C&D,Wood Waste,2010,347137
C&D,Wood Waste,2011,178403
C&D,Wood Waste,2012,244907
C&D,Wood Waste,2013,167002
C&D,Wood Waste,2014,198487
C&D,Wood Waste,2015,187275
C&D,Wood Waste,2016,195626
C&D,Wood Waste,2017,210732
C&D,Wood Waste,2018,169607
Glass,Container Glass,2000,84062
Glass,Container Glass,2001,81632
Glass,Container Glass,2002,64937
Glass,Container Glass,2003,74126
Glass,Container Glass,2004,81405
Glass,Container Glass,2005,82773
Glass,Container Glass,2006,90992
Glass,Container Glass,2007,96934
Glass,Container Glass,2008,94077
Glass,Container Glass,2009,100823
Glass,Container Glass,2010,113128
Glass,Container Glass,2011,116111
Glass,Container Glass,2012,141280
Glass,Container Glass,2013,103913
Glass,Container Glass,2014,112212
Glass,Container Glass,2015,116313
Glass,Container Glass,2016,145404
Glass,Container Glass,2017,146065
Glass,Container Glass,2018,78533
Glass,Other Glass,2000,    
Glass,Other Glass,2001,    
Glass,Other Glass,2002,2364
Glass,Other Glass,2003,2976
Glass,Other Glass,2004,2253
Glass,Other Glass,2005,4870
Glass,Other Glass,2006,5404
Glass,Other Glass,2007,1706
Glass,Other Glass,2008,    
Glass,Other Glass,2009,1750
Glass,Other Glass,2010,2390
Glass,Other Glass,2011,1230
Glass,Other Glass,2012,3661
Glass,Other Glass,2013,1605
Glass,Other Glass,2014,65
Glass,Other Glass,2015,    
Glass,Other Glass,2016,    
Glass,Other Glass,2017,    
Glass,Other Glass,2018,9388
Metal,Aluminum Cans,2000,17945
Metal,Aluminum Cans,2001,12540
Metal,Aluminum Cans,2002,12718
Metal,Aluminum Cans,2003,17608
Metal,Aluminum Cans,2004,16010
Metal,Aluminum Cans,2005,15441
Metal,Aluminum Cans,2006,14951
Metal,Aluminum Cans,2007,14005
Metal,Aluminum Cans,2008,12842
Metal,Aluminum Cans,2009,21098
Metal,Aluminum Cans,2010,13655
Metal,Aluminum Cans,2011,13115
Metal,Aluminum Cans,2012,13635
Metal,Aluminum Cans,2013,16679
Metal,Aluminum Cans,2014,14309
Metal,Aluminum Cans,2015,11463
Metal,Aluminum Cans,2016,10889
Metal,Aluminum Cans,2017,11070
Metal,Aluminum Cans,2018,13143
Metal,Appliances/White Goods,2000,35427
Metal,Appliances/White Goods,2001,39180
Metal,Appliances/White Goods,2002,43833
Metal,Appliances/White Goods,2003,53353
Metal,Appliances/White Goods,2004,56920
Metal,Appliances/White Goods,2005,47302
Metal,Appliances/White Goods,2006,49796
Metal,Appliances/White Goods,2007,44667
Metal,Appliances/White Goods,2008,43401
Metal,Appliances/White Goods,2009,39777
Metal,Appliances/White Goods,2010,48881
Metal,Appliances/White Goods,2011,44174
Metal,Appliances/White Goods,2012,54578
Metal,Appliances/White Goods,2013,31192
Metal,Appliances/White Goods,2014,37882
Metal,Appliances/White Goods,2015,27371
Metal,Appliances/White Goods,2016,58427
Metal,Appliances/White Goods,2017,54131
Metal,Appliances/White Goods,2018,80006
Metal,Other Ferrous Metal,2000,357220
Metal,Other Ferrous Metal,2001,254104
Metal,Other Ferrous Metal,2002,432778
Metal,Other Ferrous Metal,2003,709881
Metal,Other Ferrous Metal,2004,866641
Metal,Other Ferrous Metal,2005,974535
Metal,Other Ferrous Metal,2006,1048885
